file_name,category,xmin,ymin,xmax,ymax
train00001.jpg,0,377,19,546,139
train00001.jpg,1,122,131,495,378
train00001.jpg,2,357,73,483,380
train00001.jpg,3,241,73,369,210
train00001.jpg,4,153,144,367,310
train00001.jpg,5,875,324,953,370
train00002.jpg,1,350,66,511,431
train00002.jpg,6,464,69,612,275
train00002.jpg,7,451,185,544,336
train00002.jpg,7,796,67,926,247
train00002.jpg,3,840,51,954,224
train00002.jpg,4,842,185,954,470
train00002.jpg,5,564,306,616,410
train00002.jpg,5,502,127,555,234
train00003.jpg,6,13,40,162,234
train00003.jpg,7,80,192,173,297
train00003.jpg,3,92,57,262,274
train00003.jpg,7,18,127,129,329
train00004.jpg,5,87,40,133,151
train00004.jpg,5,126,45,175,162
train00004.jpg,7,87,281,120,447
train00005.jpg,7,69,352,196,443
train00006.jpg,6,188,233,645,591
train00006.jpg,6,459,357,652,566
train00006.jpg,7,364,453,531,583
train00007.jpg,7,28,190,112,348
train00007.jpg,5,229,303,287,398
train00007.jpg,8,76,191,327,487
train00007.jpg,7,4,334,49,444
train00008.jpg,8,318,64,476,384
train00008.jpg,7,289,55,370,177
train00008.jpg,5,231,166,289,285
train00008.jpg,0,75,217,250,399
train00008.jpg,4,166,35,343,259
train00008.jpg,3,82,344,290,500
train00009.jpg,6,297,550,512,698
train00009.jpg,7,280,607,458,669
train00009.jpg,7,190,557,516,698
train00010.jpg,6,117,88,311,279
train00010.jpg,4,89,187,255,494
train00010.jpg,2,201,325,515,548
train00010.jpg,5,150,296,200,411
train00010.jpg,8,330,246,521,408
train00010.jpg,7,174,344,299,440
train00010.jpg,3,288,146,446,402
train00011.jpg,6,170,233,293,399
train00011.jpg,7,117,273,216,494
train00011.jpg,7,122,417,183,506
train00011.jpg,3,40,69,339,234
train00011.jpg,8,427,288,554,471
train00012.jpg,1,207,378,383,651
train00012.jpg,7,197,283,507,538
train00012.jpg,0,210,199,352,407
train00012.jpg,3,123,233,269,487
train00012.jpg,7,862,299,971,454
train00012.jpg,6,315,262,458,414
train00012.jpg,5,201,326,302,370
train00013.jpg,7,204,86,419,372
train00013.jpg,1,218,168,352,376
train00013.jpg,5,75,243,153,327
train00013.jpg,5,84,153,145,267
train00013.jpg,3,112,239,227,351
train00014.jpg,6,78,125,274,309
train00014.jpg,4,1,310,132,479
train00014.jpg,2,11,370,362,520
train00014.jpg,5,102,327,215,381
train00015.jpg,7,115,258,254,384
train00015.jpg,7,217,239,351,414
train00015.jpg,6,25,322,197,440
train00016.jpg,7,286,144,368,308
train00016.jpg,6,251,170,367,394
train00016.jpg,0,321,226,373,284
train00017.jpg,7,224,190,317,304
train00018.jpg,7,132,350,210,518
train00018.jpg,7,185,272,277,496
train00018.jpg,7,29,192,163,508
train00018.jpg,7,65,128,103,245
train00019.jpg,6,528,201,638,330
train00019.jpg,7,426,230,607,292
train00019.jpg,7,382,260,569,343
train00019.jpg,8,143,294,272,443
train00020.jpg,7,480,287,753,670
train00020.jpg,4,545,406,731,637
train00020.jpg,7,606,272,741,320
train00020.jpg,5,515,483,648,530
train00020.jpg,5,674,339,740,432
train00020.jpg,5,954,253,985,355
train00020.jpg,8,309,266,677,518
train00020.jpg,3,458,249,752,372
train00020.jpg,3,377,324,464,646
train00021.jpg,2,1041,160,1201,286
train00021.jpg,8,183,146,391,372
train00021.jpg,1,426,370,671,469
train00021.jpg,7,301,395,394,448
train00021.jpg,8,196,474,398,609
train00021.jpg,5,205,303,250,416
train00022.jpg,8,227,137,507,464
train00022.jpg,1,147,149,405,536
train00022.jpg,6,79,363,110,529
train00023.jpg,7,192,192,509,311
train00023.jpg,3,304,293,435,423
